user_id,userid_DI
19679,MHxPC130136877
19690,MHxPC130234142
19691,MHxPC130572857
19694,MHxPC130453372
19695,MHxPC130431804
19699,MHxPC130501213
19710,MHxPC130188208
19712,MHxPC130136554
19713,MHxPC130287476
19715,MHxPC130072034
19717,MHxPC130097169
19719,MHxPC130343498
19743,MHxPC130204893
19747,MHxPC130294387
19754,MHxPC130524369
19755,MHxPC130257219
19763,MHxPC130484176
19768,MHxPC130140594
19771,MHxPC130309121
19772,MHxPC130041407
19782,MHxPC130405858
19789,MHxPC130104157
19791,MHxPC130181539
19802,MHxPC130121174
19805,MHxPC130253950
19812,MHxPC130379924
19815,MHxPC130362988
19816,MHxPC130058103
19820,MHxPC130236485
19830,MHxPC130535254
19833,MHxPC130154797
19837,MHxPC130330688
19846,MHxPC130403420
19856,MHxPC130207544
19859,MHxPC130328284
19862,MHxPC130127280
19868,MHxPC130105777
19877,MHxPC130512856
19878,MHxPC130312228
19879,MHxPC130268354
19887,MHxPC130224406
19888,MHxPC130595452
19897,MHxPC130311114
19901,MHxPC130584871
19912,MHxPC130146746
19916,MHxPC130012718
19921,MHxPC130120442
19927,MHxPC130331530
19940,MHxPC130390932
19941,MHxPC130157093
19950,MHxPC130062821
19953,MHxPC130208419
19958,MHxPC130093371
19959,MHxPC130157086
19967,MHxPC130483850
19971,MHxPC130006286
19972,MHxPC130459407
19975,MHxPC130476616
19979,MHxPC130122941
19981,MHxPC130334850
19996,MHxPC130561556
20002,MHxPC130292483
20011,MHxPC130252333
20014,MHxPC130504711
20020,MHxPC130144064
20022,MHxPC130320886
20029,MHxPC130387998
20030,MHxPC130211096
20031,MHxPC130485754
20038,MHxPC130558504
20047,MHxPC130123058
20048,MHxPC130546309
20052,MHxPC130353901
20056,MHxPC130473917
20073,MHxPC130400326
20075,MHxPC130421282
20080,MHxPC130129947
20085,MHxPC130073644
20087,MHxPC130561925
20089,MHxPC130035740
20094,MHxPC130307506
20100,MHxPC130100359
20120,MHxPC130202234
20145,MHxPC130184203
20151,MHxPC130565740
20152,MHxPC130450449
20157,MHxPC130373537
20162,MHxPC130493144
20183,MHxPC130554716
20186,MHxPC130484903
20190,MHxPC130429214
20194,MHxPC130299514
20195,MHxPC130349327
20204,MHxPC130261434
20207,MHxPC130132378
20209,MHxPC130245514
20215,MHxPC130326598
20218,MHxPC130120598
20219,MHxPC130103520
20232,MHxPC130463813
20236,MHxPC130143859
20244,MHxPC130361053
20246,MHxPC130293422
20247,MHxPC130354202
20248,MHxPC130065487
20249,MHxPC130302158
20250,MHxPC130246020
20252,MHxPC130152354
20253,MHxPC130479516
20257,MHxPC130264453
20267,MHxPC130339821
20273,MHxPC130188479
20275,MHxPC130546730
20282,MHxPC130300857
20285,MHxPC130255985
20286,MHxPC130105490
20288,MHxPC130185349
20290,MHxPC130001040
20291,MHxPC130360793
20292,MHxPC130501057
20303,MHxPC130476667
20307,MHxPC130402390
20308,MHxPC130438436
20312,MHxPC130418452
20315,MHxPC130024091
20318,MHxPC130266064
20326,MHxPC130525239
20330,MHxPC130459623
20336,MHxPC130474052
20337,MHxPC130411168
20339,MHxPC130171571
20348,MHxPC130234274
20349,MHxPC130142505
20351,MHxPC130242476
20352,MHxPC130204265
20353,MHxPC130408437
20360,MHxPC130126789
20361,MHxPC130021129
20362,MHxPC130365070
20363,MHxPC130334098
20371,MHxPC130259167
20372,MHxPC130124704
20375,MHxPC130407398
20381,MHxPC130176967
20384,MHxPC130236204
20385,MHxPC130404397
20386,MHxPC130461607
20388,MHxPC130194646
20393,MHxPC130082519
20396,MHxPC130003696
20399,MHxPC130077177
20400,MHxPC130132003
20404,MHxPC130250432
20410,MHxPC130488545
20421,MHxPC130516530
20425,MHxPC130067509
20427,MHxPC130058484
20428,MHxPC130451178
20448,MHxPC130447081
20461,MHxPC130139753
20462,MHxPC130249095
20466,MHxPC130430780
20469,MHxPC130086687
20470,MHxPC130264586
20477,MHxPC130504350
20478,MHxPC130185451
20482,MHxPC130514279
20489,MHxPC130424772
20490,MHxPC130529752
20492,MHxPC130432695
20496,MHxPC130341459
20500,MHxPC130334349
20502,MHxPC130189713
20506,MHxPC130553549
20511,MHxPC130036263
20513,MHxPC130585910
20514,MHxPC130049355
20515,MHxPC130223261
20516,MHxPC130510647
20518,MHxPC130321252
20522,MHxPC130086786
20526,MHxPC130440987
20527,MHxPC130229250
20530,MHxPC130308765
20534,MHxPC130335591
20544,MHxPC130590684
20545,MHxPC130452870
20546,MHxPC130103707
20549,MHxPC130099310
20550,MHxPC130020281
20551,MHxPC130342841
20552,MHxPC130004390
20565,MHxPC130102969
20574,MHxPC130128451
20582,MHxPC130377673
20589,MHxPC130453930
20591,MHxPC130147305
20593,MHxPC130109289
20595,MHxPC130080415
20598,MHxPC130000723
20599,MHxPC130151984
20608,MHxPC130207989
20614,MHxPC130219657
20615,MHxPC130443901
20616,MHxPC130046407
20621,MHxPC130401928
20624,MHxPC130031529
20635,MHxPC130238780
20648,MHxPC130124363
20653,MHxPC130297937
20655,MHxPC130398770
